pc_recv_time,frame_id,timestamp_ms,vtem_voltage_v,vm_voltage_v,va201_voltage_v,vbat_voltage_v
2026-03-23T14:39:20.583,180,20630,0.566,0.542,0.6,2.614
2026-03-23T14:39:20.584,181,20640,0.565,0.54,0.6,2.616
2026-03-23T14:39:20.621,182,20651,0.565,0.54,0.6,2.616
2026-03-23T14:39:20.622,183,20660,0.565,0.542,0.6,2.616
2026-03-23T14:39:20.622,184,20670,0.566,0.542,0.594,2.612
2026-03-23T14:39:20.623,185,20680,0.566,0.54,0.599,2.616
2026-03-23T14:39:20.681,186,20691,0.563,0.534,0.591,2.604
2026-03-23T14:39:20.697,187,20700,0.564,0.541,0.594,2.616
2026-03-23T14:39:20.697,188,20710,0.564,0.541,0.6,2.614
2026-03-23T14:39:20.697,189,20720,0.565,0.542,0.6,2.614
2026-03-23T14:39:20.698,190,20730,0.565,0.543,0.601,2.616
2026-03-23T14:39:20.709,191,20741,0.564,0.542,0.6,2.614
2026-03-23T14:39:20.724,192,20750,0.564,0.541,0.599,2.614
2026-03-23T14:39:20.740,193,20760,0.564,0.541,0.599,2.614
2026-03-23T14:39:20.740,194,20770,0.565,0.542,0.6,2.616
2026-03-23T14:39:20.766,195,20781,0.565,0.542,0.599,2.616
2026-03-23T14:39:20.781,196,20790,0.565,0.542,0.6,2.614
2026-03-23T14:39:20.782,197,20800,0.565,0.543,0.6,2.614
2026-03-23T14:39:20.782,198,20810,0.564,0.541,0.599,2.617
2026-03-23T14:39:20.782,199,20821,0.559,0.54,0.6,2.612
2026-03-23T14:39:20.807,200,20831,0.564,0.541,0.599,2.616
2026-03-23T14:39:20.808,201,20840,0.565,0.542,0.594,2.614
2026-03-23T14:39:20.808,202,20850,0.565,0.541,0.599,2.616
2026-03-23T14:39:20.823,203,20860,0.565,0.543,0.6,2.616
2026-03-23T14:39:20.850,204,20871,0.564,0.542,0.599,2.614
2026-03-23T14:39:20.865,205,20880,0.565,0.543,0.6,2.614
2026-03-23T14:39:20.865,206,20890,0.564,0.542,0.6,2.614
2026-03-23T14:39:20.865,207,20900,0.565,0.541,0.6,2.616
2026-03-23T14:39:20.902,208,20911,0.565,0.542,0.6,2.616
2026-03-23T14:39:20.903,209,20920,0.564,0.543,0.6,2.614
2026-03-23T14:39:20.903,210,20930,0.565,0.542,0.6,2.614
2026-03-23T14:39:20.903,211,20940,0.564,0.542,0.6,2.614
2026-03-23T14:39:20.903,212,20950,0.565,0.543,0.599,2.614
2026-03-23T14:39:20.928,213,20961,0.564,0.543,0.599,2.616
2026-03-23T14:39:20.928,214,20970,0.565,0.542,0.599,2.616
2026-03-23T14:39:20.943,215,20980,0.565,0.543,0.6,2.614
2026-03-23T14:39:20.943,216,20990,0.564,0.543,0.6,2.616
2026-03-23T14:39:20.980,217,21001,0.564,0.542,0.6,2.616
2026-03-23T14:39:20.980,218,21010,0.564,0.542,0.6,2.614
2026-03-23T14:39:20.981,219,21020,0.564,0.542,0.594,2.614
2026-03-23T14:39:20.981,220,21030,0.565,0.542,0.599,2.614
2026-03-23T14:39:21.014,221,21041,0.557,0.541,0.597,2.604
2026-03-23T14:39:21.015,222,21050,0.564,0.542,0.6,2.614
2026-03-23T14:39:21.016,223,21060,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.016,224,21070,0.565,0.543,0.599,2.616
2026-03-23T14:39:21.017,225,21080,0.565,0.543,0.6,2.616
2026-03-23T14:39:21.078,226,21091,0.566,0.543,0.6,2.614
2026-03-23T14:39:21.079,227,21100,0.564,0.542,0.6,2.616
2026-03-23T14:39:21.079,228,21110,0.565,0.543,0.599,2.616
2026-03-23T14:39:21.079,229,21120,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.111,230,21131,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.111,231,21140,0.564,0.541,0.599,2.612
2026-03-23T14:39:21.112,232,21151,0.565,0.544,0.599,2.614
2026-03-23T14:39:21.112,233,21160,0.564,0.543,0.6,2.614
2026-03-23T14:39:21.112,234,21171,0.557,0.543,0.594,2.611
2026-03-23T14:39:21.146,235,21181,0.564,0.543,0.6,2.616
2026-03-23T14:39:21.146,236,21190,0.564,0.542,0.6,2.614
2026-03-23T14:39:21.147,237,21200,0.564,0.543,0.599,2.616
2026-03-23T14:39:21.148,238,21210,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.207,239,21221,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.207,240,21230,0.565,0.544,0.6,2.614
2026-03-23T14:39:21.208,241,21240,0.565,0.544,0.6,2.614
2026-03-23T14:39:21.208,242,21250,0.564,0.543,0.599,2.616
2026-03-23T14:39:21.241,243,21261,0.564,0.543,0.599,2.616
2026-03-23T14:39:21.242,244,21270,0.565,0.543,0.594,2.614
2026-03-23T14:39:21.242,245,21280,0.564,0.542,0.598,2.614
2026-03-23T14:39:21.242,246,21290,0.564,0.543,0.6,2.614
2026-03-23T14:39:21.242,247,21300,0.565,0.542,0.593,2.612
2026-03-23T14:39:21.277,248,21311,0.564,0.543,0.6,2.614
2026-03-23T14:39:21.277,249,21320,0.566,0.544,0.6,2.614
2026-03-23T14:39:21.278,250,21330,0.564,0.544,0.599,2.616
2026-03-23T14:39:21.279,251,21340,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.324,252,21351,0.564,0.543,0.6,2.614
